taxon,Cass Spring,Grasmere Stream,Waimak Spring,One Tree Swamp,Bealey Spring,Cass River,Waimakariri River,Hawdon River,Broad Stream,Bruce Stream
Ephemeroptra Ameletopsis,,,,,,,,,,
Ephemeroptra Austroclima,,,,,,,,,,
Ephemeroptra Coloburiscus,,1,1,,,,,,,
Ephemeroptra Deleatidium,20,20,20,5,20,5,20,1,20,1
Ephemeroptra Neozephlebia,,,,,,,,,,
Ephemeroptra Nesameletus,1,,5,,5,,,,,
Ephemeroptra Oniscigaster,,,,,,,,,,
Ephemeroptra Zephlebia,,,,,,,,,,
Plecoptera Acroperla,,,,5,,,,,,
Plecoptera Austroperla,,,,,,,,,,
Plecoptera Cristaperla,,,,,,,,,,
Plecoptera Megaloptoperla,,,,,,,,,,
Plecoptera Spaniocerca,,,,,,,,,,
Plecoptera Spanicercoides,,,,,,,,,,
Plecoptera Stenoperla,,,,,,,,,,
Plecoptera Zelandobius,1,,,1,,,1,1,,1
Plecoptera Zelandoperla,,,,,,,,,,
Trichoptera Aoteapsyche,,5,,,,,,,,
Trichoptera Beraeoptera,,,,,5,,1,,,
Trichoptera Confluens,,,,,,,,,,
Trichoptera Costachorema,,,,,1,,,,,
Trichoptera Ecnomidae,,,,,1,,,,,
Trichoptera Edpercivalia,,,,,,,,,,
Trichoptera Helicopsyche,,,,,,,,,,
Trichoptera Hudsonema,,,1,,,1,,1,,
Trichoptera Hydrochorema,,,,,,,,,1,
Trichoptera Hydrobiosis,5,5,,,,,5,,1,1
Trichoptera Hydrobiosella,,,,,,,,,,
Trichoptera Neurochorema,,,,,,,,,,
Trichoptera Oeconesus,,,1,,,,,,,
Trichoptera Olinga,,1,,,5,,,,,
Trichoptera Oxyethira,,,,,,,,,,
Trichoptera Plectrocnemia,,,,,,,,,,
Trichoptera Polyplectropus,,,,,,,,,,
Trichoptera Psilochorema,,,,,,,,,,
Trichoptera Pycnocentria,20,20,20,20,5,,,,,
Trichoptera Pycnocentrodes,1,20,20,,20,,,,,
Trichoptera Philorhethrus,,,1,,,,,,,
Trichoptera Triplectides,,,,,,,,,,
Trichoptera Zelandopsyche,,,,,,,,,,
Trichoptera Zelolessica,,,,,,,,,,
Megaloptera Archichauliodes diversus,,,,,,,,,,
Diptera Aphrophila,,,,,,,,,,
Diptera Austrosimulium,,,,,,5,1,,,
Diptera Ceratopogonidae,,,,,,,,,,
Diptera Chironomidae,5,1,1,20,,1,20,1,,1
Diptera Empididae,,,,,,,,,,
Diptera Eriopterini,,,,,,,,,,
Diptera Limoniinae,,,1,,5,,,,,
Diptera Muscidae,,,,,,,,,,
Diptera Neocurupira,,,,,,,,,,
Diptera Nothodixa,,,,,,,,,,
Diptera Paralimnophila,,,,,,,,,,
Diptera Psychodidae,,,,,,,,,,
Diptera Stratiomyidae,,,,,,,,,,
Diptera Tanyderidae,,,,,,,,,,
Diptera Zelandotipula,,,,,,,,,,
Mollusca Gyraulus,,,,,,,,,,
Mollusca Potamopyrgus,1,,20,20,1,,,,,
Mollusca Physa,,,,,,,,,,
Mollusca Sphaerium,,,,,,,,,,
Coleoptera Elmidae,,,,,,,1,,1,
Coleoptera Hydraenidae,,,,,,,,,,
Coleoptera Scirtidae,,,,,,,,,,
Crustacea Amphipoda,,,,,,,,,,
Crustacea Ostracoda,,,,,,,,,,
Oligochaetae,1,1,5,1,,1,,5,,
Platyhelminthes,,1,5,,,,,,,
Collembola,,,,,,1,,,,
Acari,,,,,,,,,,
Nematoda,,20,,,,,,,,
